id,first_review,last_review,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
50641996,2021-08-07,2023-06-03,63,8,4,4,4,4,4,4,5,4,3
50658134,2021-07-05,2023-06-04,86,47,5,5,5,5,5,5,5,5,4
50750968,2021-07-12,2023-04-07,16,3,0,5,5,5,5,5,5,4,1
50768652,2021-07-04,2023-06-05,320,137,19,5,5,5,5,5,5,5,14
50797719,2021-09-25,2023-06-04,57,42,2,5,5,5,5,5,5,5,3
50858071,2021-08-14,2023-05-26,59,24,5,5,5,5,5,5,5,5,3
50875623,2021-07-19,2023-06-03,156,93,11,5,5,5,5,5,5,5,7
50893912,2021-09-30,2023-05-31,47,26,5,5,5,5,5,5,5,5,2
50911311,2021-08-17,2023-05-07,10,4,0,5,5,5,5,5,5,5,0
50913428,2021-10-04,2023-06-09,15,9,2,5,5,5,5,5,5,5,1
50919960,2021-07-19,2023-05-30,37,20,3,5,5,5,5,5,5,5,2
50941383,2021-07-24,2023-06-04,148,61,2,5,5,5,5,5,5,5,6
50956036,2021-07-16,2021-11-08,13,0,0,5,5,5,5,5,5,5,1
50977112,2021-07-18,2023-06-05,112,76,10,5,5,5,5,5,5,5,5
50999585,2021-07-22,2023-05-09,33,12,0,5,5,4,5,5,5,5,1
51028993,2021-09-05,2023-05-31,46,30,3,5,5,5,5,5,5,5,2
51049223,2021-12-13,2023-05-21,19,12,2,5,5,5,5,5,5,5,1
51070684,2022-09-05,2023-03-25,16,16,0,5,5,5,5,5,5,5,2
51070923,2021-07-18,2023-05-07,28,12,0,5,5,5,5,5,5,5,1
51085176,2021-07-25,2023-06-05,89,41,3,5,5,5,5,5,5,5,4
51085284,2022-02-19,2023-05-21,17,14,2,5,5,5,5,5,5,5,1
51110067,2021-08-24,2022-07-01,5,1,0,5,5,5,5,5,5,5,0
51129506,2021-09-06,2021-12-30,6,0,0,5,5,5,4,5,5,5,0
51150981,2021-07-25,2023-06-05,115,97,18,5,5,5,5,5,5,5,5
51225273,2021-08-08,2023-03-31,39,29,0,5,5,5,5,5,5,5,2
51254206,2021-08-14,2023-04-23,21,7,0,5,5,5,5,5,5,5,1
51267076,2022-10-11,2023-05-16,12,12,1,5,5,4,5,5,5,5,1
51281326,2021-08-30,2023-04-30,21,15,0,5,5,5,5,5,5,5,1
51303627,2021-10-03,2023-06-10,142,84,5,5,5,5,5,5,5,5,7
51308579,2021-08-23,2022-11-07,31,10,0,5,5,4,5,5,5,5,1
51350367,2021-12-27,2022-05-08,2,0,0,4,4,4,2,4,4,4,0
51359133,2021-10-17,2023-06-10,79,48,6,5,5,5,5,5,5,5,4
51393456,2023-06-07,2023-06-07,1,1,1,5,5,5,5,5,5,5,1
51393500,2021-08-10,2023-06-09,75,40,2,5,5,5,5,5,5,5,3
51426381,2023-05-12,2023-05-16,2,2,2,5,5,5,5,5,5,5,2
51445103,2021-10-03,2023-05-04,8,5,0,5,5,5,5,5,5,5,0
51451367,2021-11-15,2022-05-03,2,0,0,5,5,5,5,5,5,5,0
51507221,2021-12-01,2022-12-30,6,3,0,5,5,4,5,5,5,5,0
51508872,2021-08-25,2023-03-29,34,17,0,5,5,5,5,5,5,5,2
51524098,2021-08-28,2023-02-26,9,5,0,5,5,5,5,5,5,5,0
51584298,2021-08-18,2023-04-26,83,53,0,5,5,5,5,5,5,5,4
51664290,2021-08-19,2023-02-01,19,4,0,5,5,4,5,5,5,5,1
51673184,2021-08-20,2023-05-21,44,23,3,5,5,5,5,5,5,5,2
51680792,2021-12-01,2022-11-11,6,2,0,4,4,5,5,5,4,4,0
51691464,2021-08-18,2023-05-29,29,6,2,5,5,5,5,5,5,5,1
51713205,2021-09-02,2023-06-09,187,90,6,5,5,5,5,5,5,5,9
51715269,2021-10-22,2023-05-01,5,1,0,5,5,5,5,5,4,5,0
51726192,2021-10-31,2022-10-10,13,5,0,5,5,5,5,5,5,5,1
51729952,2022-05-01,2023-04-08,2,1,0,4,4,5,4,4,5,3,0
51795909,2021-09-23,2023-05-15,112,55,1,5,5,5,5,5,5,5,5
51802849,2021-10-11,2023-06-08,123,81,8,5,5,5,5,5,5,5,6
51803095,2021-08-29,2022-05-26,16,0,0,5,5,5,5,5,5,5,1
51905074,2021-09-02,2022-09-29,7,2,0,5,5,5,5,5,5,5,0
51905079,2021-09-03,2022-06-10,10,0,0,5,5,5,5,5,5,5,0
51918527,2021-10-02,2022-08-31,20,5,0,5,5,5,5,5,5,5,1
51936964,2021-12-06,2023-05-22,20,13,1,5,5,5,5,5,5,5,1
